source,target,edge_type,weight
user:somosmep,user:onumujeresar,mention_post,1
user:somosmep,user:vaninarame,mention_post,1
user:kymo73,user:elenabautistaartista.,mention_post,1
user:ajplusespanol,user:dangerakoficial,mention_post,1
user:telefecordoba,user:giselabusaniche,mention_post,1
user:telefecordoba,user:gustavosain,mention_post,1
user:telefecordoba,user:marbendem,mention_post,1
user:telefecordoba,user:leyolimpiaargentina,mention_post,1
user:eldialp,user:eldialp,mention_post,1
user:doctacompliance,user:sineditar.st,mention_post,1
user:respuestasexual,user:lanacionmas,mention_post,1
user:zulyamor0304,user:alfredomitre,mention_comment,1
user:aaleexmv_,user:24hoss_,mention_comment,1
user:potoppitta,user:savethechildren_es,mention_comment,1
user:potoppitta,user:fembloc_,mention_comment,1
user:potoppitta,user:federacionmujeresjovenes,mention_comment,1
user:unahistoriacontunovio,user:unahistoriacontunovio,mention_comment,1
user:psicomap,user:cimtm,mention_comment,1
user:laaurissr,user:espacios_naturistas,mention_comment,1
user:dongiorgio.vk,user:laaurissr,mention_comment,1
user:feli_franco,user:francotrigoabogados,mention_comment,1
user:diegooliveri,user:florgodoy1,mention_comment,1
user:madresprotectorasmadrid,user:igualdadgob,mention_comment,2
user:madresprotectorasmadrid,user:poderjudiciales,mention_comment,2
user:luciayellow,user:patadaenlasbolasconfrazzani,mention_comment,1
user:cokilitvin,user:femhackarg,mention_comment,1
user:floreceranmilflores,user:adriyf,mention_comment,1
user:madresprotectorasmadrid,user:radfem_madrid,co_comment,3
user:madresprotectorasmadrid,user:una_estrellaenmiventana,co_comment,2
user:radfem_madrid,user:una_estrellaenmiventana,co_comment,2
user:madresprotectorasmadrid,user:sweet_marie156,co_comment,2
user:radfem_madrid,user:sweet_marie156,co_comment,2
profile:jeyzetaoficial,hashtag:ciberseguridad,profile_uses_hashtag,1
profile:jeyzetaoficial,hashtag:cybersafety,profile_uses_hashtag,1
profile:jeyzetaoficial,hashtag:dataprotection,profile_uses_hashtag,1
profile:jeyzetaoficial,hashtag:deepfake,profile_uses_hashtag,1
profile:jeyzetaoficial,hashtag:forensics,profile_uses_hashtag,1
profile:jeyzetaoficial,hashtag:ia,profile_uses_hashtag,1
profile:jeyzetaoficial,hashtag:jeyzeta,profile_uses_hashtag,1
profile:jeyzetaoficial,hashtag:ncmec,profile_uses_hashtag,1
profile:jeyzetaoficial,hashtag:noaldeepfake,profile_uses_hashtag,1
profile:jeyzetaoficial,hashtag:osint,profile_uses_hashtag,1
profile:jeyzetaoficial,hashtag:privacidad,profile_uses_hashtag,1
profile:jeyzetaoficial,hashtag:privacidaddigital,profile_uses_hashtag,1
profile:jeyzetaoficial,hashtag:protecciondigital,profile_uses_hashtag,1
profile:jeyzetaoficial,hashtag:seguridaddigital,profile_uses_hashtag,1
profile:jeyzetaoficial,hashtag:takeitdown,profile_uses_hashtag,1
profile:jeyzetaoficial,hashtag:noaldeepfake,profile_from_hashtag_search,1
profile:descifrandoaleon,hashtag:descifrandoaleon,profile_uses_hashtag,1
profile:descifrandoaleon,hashtag:factcheckerpontificio,profile_uses_hashtag,1
profile:descifrandoaleon,hashtag:iglesiacatolica,profile_uses_hashtag,1
